customer_id,total_spend,avg_spend,max_spend,previous_purchases,avg_review_rating,age,gender,location,subscription_status,preferred_payment,preferred_shipping,category_diversity,product_diversity,discount_orders,promo_orders,purchase_frequency,aov,total_transactions,repeat_customer_flag,promo_dependency_score,satisfaction_flag,spend_score,frequency_score,purchase_history_score,value_score,value_tier,organic_spend,organic_spend_ratio,avg_discount_spend,avg_non_discount_spend,discount_sensitivity_score,high_margin_customer,organic_demand_score,risk_flag,loyalty_score_1,review_score_normalized,low_promo_score,loyalty_score_2,loyalty1_group,loyalty2_group,customer_segment,strategic_segment,Season,Category
18,38,38.0,38,36,4.7,53,Male,Mississippi,Yes,Venmo,2-Day Shipping,1,1,1,1,Quarterly,1.06,1,0,1.0,Unsatisfied,0.225,0.0,0.7142857142857142,25.54,Silver,0.0,0.0,38.0,0.0,1.0,No,9.0,Low Risk,28.57,0.8800000000000001,0.0,35.4,High,Low,Discount Hunters,Promo Locked,Winter,Clothing
19,48,48.0,48,17,4.6,52,Male,Montana,Yes,Cash,Free Shipping,1,1,1,1,Weekly,2.82,1,0,1.0,Unsatisfied,0.3500000000000001,0.0,0.3265306122448979,24.03,Silver,0.0,0.0,48.0,0.0,1.0,No,14.0,Low Risk,13.06,0.8399999999999999,0.0,39.2,Low,Low,Discount Hunters,Promo Locked,Summer,Clothing
20,90,90.0,90,46,3.3,66,Male,Rhode Island,Yes,Debit Card,Standard,1,1,1,1,Bi-Weekly,1.96,1,0,1.0,Unsatisfied,0.875,0.0,0.9183673469387754,62.12,Platinum,0.0,0.0,90.0,0.0,1.0,No,35.0,High Risk,36.73,0.32,0.0,44.6,High,Medium,Discount Hunters,Promo Locked,Summer,Clothing
21,51,51.0,51,50,2.8,21,Male,Louisiana,Yes,Cash,Express,1,1,1,1,Every 3 Months,1.02,1,0,1.0,Unsatisfied,0.3875,0.0,1.0,39.38,Gold,0.0,0.0,51.0,0.0,1.0,No,15.5,High Risk,40.0,0.1199999999999998,0.0,19.1,High,Low,Discount Hunters,Promo Locked,Winter,Clothing
22,62,62.0,62,22,4.1,31,Male,North Carolina,Yes,Debit Card,Store Pickup,1,1,1,1,Quarterly,2.82,1,0,1.0,Unsatisfied,0.525,0.0,0.4285714285714285,34.82,Gold,0.0,0.0,62.0,0.0,1.0,No,21.0,Low Risk,17.14,0.6399999999999999,0.0,40.2,Medium,Low,Discount Hunters,Promo Locked,Winter,Clothing
23,37,37.0,37,32,3.2,56,Male,California,Yes,Debit Card,Store Pickup,1,1,1,1,Annually,1.16,1,0,1.0,Unsatisfied,0.2125,0.0,0.6326530612244897,23.28,Silver,0.0,0.0,37.0,0.0,1.0,No,8.5,High Risk,25.31,0.2800000000000002,0.0,16.9,Medium,Low,Discount Hunters,Promo Locked,Summer,Clothing
24,88,88.0,88,40,4.4,31,Male,Oklahoma,Yes,Credit Card,Express,1,1,1,1,Weekly,2.2,1,0,1.0,Unsatisfied,0.8500000000000001,0.0,0.7959183673469387,58.42,Platinum,0.0,0.0,88.0,0.0,1.0,No,34.0,Low Risk,31.84,0.7600000000000002,0.0,56.8,High,Medium,Discount Hunters,Promo Locked,Winter,Clothing
25,22,22.0,22,16,2.9,18,Male,Florida,Yes,Debit Card,Store Pickup,1,1,1,1,Weekly,1.38,1,0,1.0,Unsatisfied,0.025,0.0,0.3061224489795918,7.37,Bronze,0.0,0.0,22.0,0.0,1.0,No,1.0,High Risk,12.24,0.1599999999999999,0.0,5.8,Low,Low,Discount Hunters,Promo Locked,Fall,Outerwear
26,25,25.0,25,14,3.6,18,Male,Texas,Yes,Paypal,Express,1,1,1,1,Annually,1.79,1,0,1.0,Unsatisfied,0.0625,0.0,0.2653061224489795,8.43,Bronze,0.0,0.0,25.0,0.0,1.0,No,2.5,Low Risk,10.61,0.4400000000000001,0.0,15.7,Low,Low,Discount Hunters,Promo Locked,Summer,Clothing
27,20,20.0,20,13,3.6,38,Male,Nevada,Yes,Credit Card,Next Day Air,1,1,1,1,Annually,1.54,1,0,1.0,Unsatisfied,0.0,0.0,0.2448979591836734,4.9,Bronze,0.0,0.0,20.0,0.0,1.0,No,0.0,Low Risk,9.8,0.4400000000000001,0.0,13.2,Low,Low,Discount Hunters,Promo Locked,Spring,Accessories
28,56,56.0,56,7,5.0,56,Male,Kentucky,Yes,Bank Transfer,Next Day Air,1,1,1,1,Every 3 Months,8.0,1,0,1.0,Unsatisfied,0.45,0.0,0.1224489795918367,24.95,Silver,0.0,0.0,56.0,0.0,1.0,No,18.0,Low Risk,4.9,1.0,0.0,48.0,Low,Medium,Discount Hunters,Promo Locked,Summer,Clothing
29,94,94.0,94,41,4.4,54,Male,North Carolina,Yes,Paypal,Free Shipping,1,1,1,1,Every 3 Months,2.29,1,0,1.0,Unsatisfied,0.925,0.0,0.8163265306122448,62.58,Platinum,0.0,0.0,94.0,0.0,1.0,No,37.0,Low Risk,32.65,0.7600000000000002,0.0,59.8,High,Medium,Discount Hunters,Promo Locked,Fall,Accessories
30,48,48.0,48,14,4.1,31,Male,Wyoming,Yes,Credit Card,Store Pickup,1,1,1,1,Weekly,3.43,1,0,1.0,Unsatisfied,0.3500000000000001,0.0,0.2653061224489795,22.81,Silver,0.0,0.0,48.0,0.0,1.0,No,14.0,Low Risk,10.61,0.6399999999999999,0.0,33.2,Low,Low,Discount Hunters,Promo Locked,Fall,Clothing
31,31,31.0,31,16,4.7,57,Male,North Carolina,Yes,Credit Card,Standard,1,1,1,1,Monthly,1.94,1,0,1.0,Unsatisfied,0.1375,0.0,0.3061224489795918,13.0,Bronze,0.0,0.0,31.0,0.0,1.0,No,5.5,Low Risk,12.24,0.8800000000000001,0.0,31.9,Low,Low,Discount Hunters,Promo Locked,Winter,Accessories
32,79,79.0,79,45,4.7,33,Male,West Virginia,Yes,Venmo,Store Pickup,1,1,1,1,Monthly,1.76,1,0,1.0,Unsatisfied,0.7375,0.0,0.8979591836734693,54.83,Platinum,0.0,0.0,79.0,0.0,1.0,No,29.5,Low Risk,35.92,0.8800000000000001,0.0,55.9,High,Medium,Discount Hunters,Promo Locked,Winter,Clothing
33,67,67.0,67,37,4.9,36,Male,Kansas,Yes,Venmo,Free Shipping,1,1,1,1,Annually,1.81,1,0,1.0,Unsatisfied,0.5875,0.0,0.7346938775510203,44.07,Gold,0.0,0.0,67.0,0.0,1.0,No,23.5,Low Risk,29.39,0.9600000000000002,0.0,52.3,High,Medium,Discount Hunters,Promo Locked,Summer,Outerwear
34,38,38.0,38,45,3.3,54,Male,Colorado,Yes,Cash,Store Pickup,1,1,1,1,Quarterly,0.84,1,0,1.0,Unsatisfied,0.225,0.0,0.8979591836734693,29.21,Silver,0.0,0.0,38.0,0.0,1.0,No,9.0,High Risk,35.92,0.32,0.0,18.6,High,Low,Discount Hunters,Promo Locked,Summer,Clothing
35,91,91.0,91,38,4.6,36,Male,North Dakota,Yes,Paypal,2-Day Shipping,1,1,1,1,Quarterly,2.39,1,0,1.0,Unsatisfied,0.8875,0.0,0.7551020408163265,59.48,Platinum,0.0,0.0,91.0,0.0,1.0,No,35.5,Low Risk,30.2,0.8399999999999999,0.0,60.7,High,Medium,Discount Hunters,Promo Locked,Spring,Clothing
36,33,33.0,33,48,4.0,54,Male,Massachusetts,Yes,Credit Card,2-Day Shipping,1,1,1,1,Bi-Weekly,0.69,1,0,1.0,Unsatisfied,0.1625,0.0,0.9591836734693876,27.31,Silver,0.0,0.0,33.0,0.0,1.0,No,6.5,Low Risk,38.37,0.6000000000000001,0.0,24.5,High,Low,Discount Hunters,Promo Locked,Summer,Clothing
37,69,69.0,69,44,4.6,35,Male,Illinois,Yes,Paypal,Free Shipping,1,1,1,1,Fortnightly,1.57,1,0,1.0,Unsatisfied,0.6125,0.0,0.8775510204081631,48.18,Platinum,0.0,0.0,69.0,0.0,1.0,No,24.5,Low Risk,35.1,0.8399999999999999,0.0,49.7,High,Medium,Discount Hunters,Promo Locked,Winter,Clothing
38,45,45.0,45,10,2.8,35,Male,Indiana,Yes,Paypal,Store Pickup,1,1,1,1,Weekly,4.5,1,0,1.0,Unsatisfied,0.3125,0.0,0.183673469387755,19.3,Bronze,0.0,0.0,45.0,0.0,1.0,No,12.5,High Risk,7.35,0.1199999999999998,0.0,16.1,Low,Low,Discount Hunters,Promo Locked,Summer,Clothing
39,37,37.0,37,44,3.750064716541548,29,Male,Florida,Yes,Venmo,2-Day Shipping,1,1,1,1,Every 3 Months,0.84,1,0,1.0,Unsatisfied,0.2125,0.0,0.8775510204081631,28.18,Silver,0.0,0.0,37.0,0.0,1.0,No,8.5,Low Risk,35.1,,0.0,,High,,Discount Hunters,Promo Locked,Winter,Clothing
40,60,60.0,60,18,4.2,70,Male,Arizona,Yes,Credit Card,Express,1,1,1,1,Monthly,3.33,1,0,1.0,Unsatisfied,0.5,0.0,0.346938775510204,31.94,Silver,0.0,0.0,60.0,0.0,1.0,No,20.0,Low Risk,13.88,0.6800000000000002,0.0,40.4,Medium,Low,Discount Hunters,Promo Locked,Summer,Clothing
41,76,76.0,76,31,4.6,69,Male,Louisiana,Yes,Debit Card,Next Day Air,1,1,1,1,Quarterly,2.45,1,0,1.0,Unsatisfied,0.7000000000000001,0.0,0.6122448979591836,47.24,Gold,0.0,0.0,76.0,0.0,1.0,No,28.0,Low Risk,24.49,0.8399999999999999,0.0,53.2,Medium,Medium,Discount Hunters,Promo Locked,Winter,Accessories
42,39,39.0,39,40,4.5,67,Male,Alaska,Yes,Venmo,Standard,1,1,1,1,Annually,0.98,1,0,1.0,Unsatisfied,0.2375,0.0,0.7959183673469387,27.79,Silver,0.0,0.0,39.0,0.0,1.0,No,9.5,Low Risk,31.84,0.8,0.0,33.5,High,Low,Discount Hunters,Promo Locked,Spring,Accessories
43,100,100.0,100,15,4.1,20,Male,Tennessee,Yes,Paypal,Free Shipping,1,1,1,1,Annually,6.67,1,0,1.0,Unsatisfied,1.0,0.0,0.2857142857142856,55.71,Platinum,0.0,0.0,100.0,0.0,1.0,No,40.0,Low Risk,11.43,0.6399999999999999,0.0,59.2,Low,Medium,Discount Hunters,Promo Locked,Spring,Outerwear
44,69,69.0,69,19,3.7,25,Male,Ohio,Yes,Paypal,Store Pickup,1,1,1,1,Fortnightly,3.63,1,0,1.0,Unsatisfied,0.6125,0.0,0.3673469387755101,37.97,Gold,0.0,0.0,69.0,0.0,1.0,No,24.5,Low Risk,14.69,0.4800000000000002,0.0,38.9,Medium,Low,Discount Hunters,Promo Locked,Fall,Accessories
45,53,53.0,53,45,4.6,39,Male,Kentucky,Yes,Paypal,Free Shipping,1,1,1,1,Weekly,1.18,1,0,1.0,Unsatisfied,0.4125000000000001,0.0,0.8979591836734693,38.58,Gold,0.0,0.0,53.0,0.0,1.0,No,16.5,Low Risk,35.92,0.8399999999999999,0.0,41.7,High,Low,Discount Hunters,Promo Locked,Summer,Accessories
46,21,21.0,21,25,2.9,50,Male,Tennessee,Yes,Paypal,2-Day Shipping,1,1,1,1,Annually,0.84,1,0,1.0,Unsatisfied,0.0125,0.0,0.4897959183673469,10.42,Bronze,0.0,0.0,21.0,0.0,1.0,No,0.5,High Risk,19.59,0.1599999999999999,0.0,5.3,Medium,Low,Discount Hunters,Promo Locked,Fall,Clothing
47,43,43.0,43,45,2.9,57,Male,California,Yes,Cash,Store Pickup,1,1,1,1,Quarterly,0.96,1,0,1.0,Unsatisfied,0.2875,0.0,0.8979591836734693,32.33,Silver,0.0,0.0,43.0,0.0,1.0,No,11.5,High Risk,35.92,0.1599999999999999,0.0,16.3,High,Low,Discount Hunters,Promo Locked,Summer,Clothing
48,54,54.0,54,36,4.5,55,Male,Montana,Yes,Cash,Free Shipping,1,1,1,1,Weekly,1.5,1,0,1.0,Unsatisfied,0.425,0.0,0.7142857142857142,35.54,Gold,0.0,0.0,54.0,0.0,1.0,No,17.0,Low Risk,28.57,0.8,0.0,41.0,High,Low,Discount Hunters,Promo Locked,Winter,Accessories
49,55,55.0,55,38,2.7,42,Male,Nevada,Yes,Cash,Store Pickup,1,1,1,1,Monthly,1.45,1,0,1.0,Unsatisfied,0.4375,0.0,0.7551020408163265,36.98,Gold,0.0,0.0,55.0,0.0,1.0,No,17.5,High Risk,30.2,0.08,0.0,19.9,High,Low,Discount Hunters,Promo Locked,Summer,Clothing
50,30,30.0,30,34,4.6,68,Male,New Jersey,Yes,Debit Card,Next Day Air,1,1,1,1,Bi-Weekly,0.88,1,0,1.0,Unsatisfied,0.125,0.0,0.673469387755102,19.72,Bronze,0.0,0.0,30.0,0.0,1.0,No,5.0,Low Risk,26.94,0.8399999999999999,0.0,30.2,High,Low,Discount Hunters,Promo Locked,Spring,Clothing
51,28,28.0,28,39,3.750064716541548,49,Male,Maryland,Yes,Debit Card,Store Pickup,1,1,1,1,Bi-Weekly,0.72,1,0,1.0,Unsatisfied,0.1,0.0,0.7755102040816325,20.51,Bronze,0.0,0.0,28.0,0.0,1.0,No,4.0,Low Risk,31.02,,0.0,,High,,Discount Hunters,Promo Locked,Spring,Clothing
52,59,59.0,59,7,4.7,59,Male,Vermont,Yes,Credit Card,2-Day Shipping,1,1,1,1,Quarterly,8.43,1,0,1.0,Unsatisfied,0.4875,0.0,0.1224489795918367,26.82,Silver,0.0,0.0,59.0,0.0,1.0,No,19.5,Low Risk,4.9,0.8800000000000001,0.0,45.9,Low,Medium,Discount Hunters,Promo Locked,Winter,Clothing
53,20,20.0,20,26,2.6,42,Male,Alaska,Yes,Credit Card,Free Shipping,1,1,1,1,Weekly,0.77,1,0,1.0,Unsatisfied,0.0,0.0,0.510204081632653,10.2,Bronze,0.0,0.0,20.0,0.0,1.0,No,0.0,High Risk,20.41,0.04,0.0,1.2,Medium,Low,Discount Hunters,Promo Locked,Summer,Clothing
54,24,24.0,24,35,3.9,29,Male,Mississippi,Yes,Credit Card,Next Day Air,1,1,1,1,Weekly,0.69,1,0,1.0,Unsatisfied,0.05,0.0,0.693877551020408,16.38,Bronze,0.0,0.0,24.0,0.0,1.0,No,2.0,Low Risk,27.76,0.56,0.0,18.8,High,Low,Discount Hunters,Promo Locked,Winter,Clothing
55,94,94.0,94,35,4.2,47,Male,New Mexico,Yes,Debit Card,Next Day Air,1,1,1,1,Bi-Weekly,2.69,1,0,1.0,Unsatisfied,0.925,0.0,0.693877551020408,60.13,Platinum,0.0,0.0,94.0,0.0,1.0,No,37.0,Low Risk,27.76,0.6800000000000002,0.0,57.4,High,Medium,Discount Hunters,Promo Locked,Summer,Outerwear
56,28,28.0,28,49,3.0,40,Male,South Carolina,Yes,Credit Card,2-Day Shipping,1,1,1,1,Annually,0.57,1,0,1.0,Unsatisfied,0.1,0.0,0.9795918367346936,24.59,Silver,0.0,0.0,28.0,0.0,1.0,No,4.0,High Risk,39.18,0.2000000000000001,0.0,10.0,High,Low,Discount Hunters,Promo Locked,Winter,Outerwear
57,73,73.0,73,46,4.7,41,Male,Mississippi,Yes,Credit Card,Store Pickup,1,1,1,1,Weekly,1.59,1,0,1.0,Unsatisfied,0.6625000000000001,0.0,0.9183673469387754,51.49,Platinum,0.0,0.0,73.0,0.0,1.0,No,26.5,Low Risk,36.73,0.8800000000000001,0.0,52.9,High,Medium,Discount Hunters,Promo Locked,Summer,Accessories
58,64,64.0,64,17,4.4,21,Male,West Virginia,Yes,Debit Card,Store Pickup,1,1,1,1,Fortnightly,3.76,1,0,1.0,Unsatisfied,0.55,0.0,0.3265306122448979,34.03,Silver,0.0,0.0,64.0,0.0,1.0,No,22.0,Low Risk,13.06,0.7600000000000002,0.0,44.8,Low,Medium,Discount Hunters,Promo Locked,Summer,Outerwear
59,54,54.0,54,29,4.2,69,Male,Missouri,Yes,Venmo,Free Shipping,1,1,1,1,Monthly,1.86,1,0,1.0,Unsatisfied,0.425,0.0,0.5714285714285714,32.68,Silver,0.0,0.0,54.0,0.0,1.0,No,17.0,Low Risk,22.86,0.6800000000000002,0.0,37.4,Medium,Low,Discount Hunters,Promo Locked,Summer,Clothing
60,79,79.0,79,4,4.6,63,Male,Louisiana,Yes,Debit Card,Standard,1,1,1,1,Weekly,19.75,1,0,1.0,Unsatisfied,0.7375,0.0,0.0612244897959183,38.1,Gold,0.0,0.0,79.0,0.0,1.0,No,29.5,Low Risk,2.45,0.8399999999999999,0.0,54.7,Low,Medium,Discount Hunters,Promo Locked,Spring,Accessories
61,37,37.0,37,17,4.0,50,Male,Idaho,Yes,Cash,Express,1,1,1,1,Weekly,2.18,1,0,1.0,Unsatisfied,0.2125,0.0,0.3265306122448979,17.16,Bronze,0.0,0.0,37.0,0.0,1.0,No,8.5,Low Risk,13.06,0.6000000000000001,0.0,26.5,Low,Low,Discount Hunters,Promo Locked,Summer,Clothing
62,68,68.0,68,21,4.7,55,Male,Texas,Yes,Credit Card,Store Pickup,1,1,1,1,Every 3 Months,3.24,1,0,1.0,Unsatisfied,0.6000000000000001,0.0,0.4081632653061224,38.16,Gold,0.0,0.0,68.0,0.0,1.0,No,24.0,Low Risk,16.33,0.8800000000000001,0.0,50.4,Medium,Medium,Discount Hunters,Promo Locked,Winter,Accessories
63,21,21.0,21,31,3.8,30,Male,Mississippi,Yes,Credit Card,Free Shipping,1,1,1,1,Fortnightly,0.68,1,0,1.0,Unsatisfied,0.0125,0.0,0.6122448979591836,12.87,Bronze,0.0,0.0,21.0,0.0,1.0,No,0.5,Low Risk,24.49,0.52,0.0,16.1,Medium,Low,Discount Hunters,Promo Locked,Spring,Footwear
64,79,79.0,79,43,2.7,33,Male,Arizona,Yes,Credit Card,2-Day Shipping,1,1,1,1,Weekly,1.84,1,0,1.0,Unsatisfied,0.7375,0.0,0.8571428571428571,54.02,Platinum,0.0,0.0,79.0,0.0,1.0,No,29.5,High Risk,34.29,0.08,0.0,31.9,High,Low,Discount Hunters,Promo Locked,Winter,Accessories
65,83,83.0,83,18,4.8,65,Male,Alabama,Yes,Debit Card,Standard,1,1,1,1,Fortnightly,4.61,1,0,1.0,Unsatisfied,0.7875000000000001,0.0,0.346938775510204,46.31,Gold,0.0,0.0,83.0,0.0,1.0,No,31.5,Low Risk,13.88,0.92,0.0,59.1,Medium,Medium,Discount Hunters,Promo Locked,Fall,Footwear
66,36,36.0,36,44,4.8,65,Male,New Jersey,Yes,Venmo,2-Day Shipping,1,1,1,1,Every 3 Months,0.82,1,0,1.0,Unsatisfied,0.2,0.0,0.8775510204081631,27.55,Silver,0.0,0.0,36.0,0.0,1.0,No,8.0,Low Risk,35.1,0.92,0.0,35.6,High,Low,Discount Hunters,Promo Locked,Spring,Accessories
67,94,94.0,94,3,4.7,31,Male,Pennsylvania,Yes,Venmo,2-Day Shipping,1,1,1,1,Every 3 Months,31.33,1,0,1.0,Unsatisfied,0.925,0.0,0.0408163265306122,47.07,Gold,0.0,0.0,94.0,0.0,1.0,No,37.0,Low Risk,1.63,0.8800000000000001,0.0,63.4,Low,High,Discount Hunters,Promo Locked,Winter,Clothing
68,33,33.0,33,49,4.4,45,Male,Connecticut,Yes,Debit Card,Store Pickup,1,1,1,1,Monthly,0.67,1,0,1.0,Unsatisfied,0.1625,0.0,0.9795918367346936,27.72,Silver,0.0,0.0,33.0,0.0,1.0,No,6.5,Low Risk,39.18,0.7600000000000002,0.0,29.3,High,Low,Discount Hunters,Promo Locked,Winter,Outerwear
69,46,46.0,46,21,3.9,57,Male,Utah,Yes,Cash,Next Day Air,1,1,1,1,Every 3 Months,2.19,1,0,1.0,Unsatisfied,0.325,0.0,0.4081632653061224,24.41,Silver,0.0,0.0,46.0,0.0,1.0,No,13.0,Low Risk,16.33,0.56,0.0,29.8,Medium,Low,Discount Hunters,Promo Locked,Summer,Accessories
70,70,70.0,70,5,4.4,48,Male,Tennessee,Yes,Cash,Express,1,1,1,1,Weekly,14.0,1,0,1.0,Unsatisfied,0.625,0.0,0.0816326530612244,32.88,Silver,0.0,0.0,70.0,0.0,1.0,No,25.0,Low Risk,3.27,0.7600000000000002,0.0,47.8,Low,Medium,Discount Hunters,Promo Locked,Summer,Accessories
71,29,29.0,29,32,4.2,22,Male,Alabama,Yes,Debit Card,Express,1,1,1,1,Every 3 Months,0.91,1,0,1.0,Unsatisfied,0.1125,0.0,0.6326530612244897,18.28,Bronze,0.0,0.0,29.0,0.0,1.0,No,4.5,Low Risk,25.31,0.6800000000000002,0.0,24.9,Medium,Low,Discount Hunters,Promo Locked,Fall,Accessories
72,48,48.0,48,34,2.9,36,Male,Virginia,Yes,Bank Transfer,Express,1,1,1,1,Annually,1.41,1,0,1.0,Unsatisfied,0.3500000000000001,0.0,0.673469387755102,30.97,Silver,0.0,0.0,48.0,0.0,1.0,No,14.0,High Risk,26.94,0.1599999999999999,0.0,18.8,High,Low,Discount Hunters,Promo Locked,Summer,Clothing
